case | num_angles | method | morozov_form | lambda | constraint_radius | residual_ratio | measurement_l2 | measurement_l1 | coeff_res | tv_value | solve_seconds
selected4_uniform_condition | 4 | tikhonov_l2_l2 | regularized | 8.316142e+01 | None | 0.999994 | 2.640553e+02 | 5.153439e+04 | 6.554512e-01 | 1.448725e+03 | 1.184
selected8_uniform_condition | 8 | tikhonov_l2_l2 | regularized | 1.089204e+02 | None | 0.999856 | 3.713695e+02 | 1.046863e+05 | 5.459835e-01 | 1.566733e+03 | 0.809
selected10_uniform_condition | 10 | tikhonov_l2_l2 | regularized | 1.235369e+02 | None | 0.999953 | 4.145459e+02 | 1.309159e+05 | 5.185283e-01 | 1.638350e+03 | 0.807
selected12_uniform_condition | 12 | tikhonov_l2_l2 | regularized | 1.401149e+02 | None | 1.000022 | 4.575637e+02 | 1.582258e+05 | 4.854457e-01 | 1.701667e+03 | 0.756
selected16_uniform_condition | 16 | tikhonov_l2_l2 | regularized | 1.802434e+02 | None | 0.999923 | 5.264859e+02 | 2.106081e+05 | 4.385215e-01 | 1.769970e+03 | 0.814
selected4_uniform_condition | 4 | l2_l1_admm | constrained | None | 2.640570e+02 | 0.983556 | 2.597149e+02 | 4.991661e+04 | 5.693831e-01 | 3.392066e+03 | 8.214
selected8_uniform_condition | 8 | l2_l1_admm | constrained | None | 3.714228e+02 | 0.981472 | 3.645412e+02 | 1.017617e+05 | 4.689049e-01 | 3.337935e+03 | 17.322
selected10_uniform_condition | 10 | l2_l1_admm | constrained | None | 4.145655e+02 | 0.982400 | 4.072693e+02 | 1.271600e+05 | 4.488155e-01 | 3.296592e+03 | 21.793
selected12_uniform_condition | 12 | l2_l1_admm | constrained | None | 4.575536e+02 | 0.984716 | 4.505606e+02 | 1.537108e+05 | 4.210716e-01 | 3.204701e+03 | 24.918
selected16_uniform_condition | 16 | l2_l1_admm | constrained | None | 5.265266e+02 | 0.988087 | 5.202542e+02 | 2.056292e+05 | 3.770761e-01 | 3.092396e+03 | 34.038
selected4_uniform_condition | 4 | l1_l1_admm | constrained | None | 5.100955e+04 | 0.975304 | 2.704473e+02 | 4.974980e+04 | 6.767417e-01 | 3.920103e+03 | 8.411
selected8_uniform_condition | 8 | l1_l1_admm | constrained | None | 1.026785e+05 | 0.986767 | 3.697005e+02 | 1.013197e+05 | 5.302857e-01 | 3.567465e+03 | 24.791
selected10_uniform_condition | 10 | l1_l1_admm | constrained | None | 1.281887e+05 | 0.987009 | 4.121865e+02 | 1.265234e+05 | 5.047461e-01 | 3.553839e+03 | 23.834
selected12_uniform_condition | 12 | l1_l1_admm | constrained | None | 1.547798e+05 | 0.988345 | 4.551713e+02 | 1.529758e+05 | 4.725128e-01 | 3.501517e+03 | 25.995
selected16_uniform_condition | 16 | l1_l1_admm | constrained | None | 2.062566e+05 | 0.989704 | 5.245358e+02 | 2.041330e+05 | 4.207061e-01 | 3.359661e+03 | 35.669
selected4_uniform_condition | 4 | l2_tv_admm | constrained | None | 2.640570e+02 | 1.000012 | 2.640601e+02 | 5.100531e+04 | 4.347109e-01 | 5.497225e+02 | 8.613
selected8_uniform_condition | 8 | l2_tv_admm | constrained | None | 3.714228e+02 | 1.000044 | 3.714393e+02 | 1.031946e+05 | 2.802896e-01 | 7.749785e+02 | 17.697
selected10_uniform_condition | 10 | l2_tv_admm | constrained | None | 4.145655e+02 | 1.000102 | 4.146079e+02 | 1.290429e+05 | 2.287100e-01 | 8.372395e+02 | 21.938
selected12_uniform_condition | 12 | l2_tv_admm | constrained | None | 4.575536e+02 | 1.000231 | 4.576593e+02 | 1.561043e+05 | 1.594582e-01 | 8.979985e+02 | 25.155
selected16_uniform_condition | 16 | l2_tv_admm | constrained | None | 5.265266e+02 | 0.998803 | 5.258961e+02 | 2.075790e+05 | 9.984416e-02 | 9.549767e+02 | 34.379
